,Female (mean (std)) (N = 8574),Male (mean (std)) (N = 14233),p-value,test_type
State_MN,0.01 (0.11),0.01 (0.12),0.4116413518650951,Fisher's exact
State_MO,0.02 (0.13),0.02 (0.12),0.7252265496395294,Fisher's exact
State_MS,0.01 (0.1),0.01 (0.11),0.2493857246899428,Fisher's exact
State_MT,0.0 (0.05),0.0 (0.05),1.0,Fisher's exact
State_NC,0.02 (0.13),0.02 (0.14),1.0,Fisher's exact
State_ND,0.0 (0.04),0.0 (0.04),1.0,Fisher's exact
State_NE,0.01 (0.08),0.01 (0.08),0.27154474831686976,Fisher's exact
State_NH,0.0 (0.06),0.01 (0.07),1.0,Fisher's exact
State_NJ,0.03 (0.16),0.03 (0.16),0.7738456628634377,Chi-square
State_NM,0.01 (0.08),0.01 (0.07),1.0,Fisher's exact
State_NV,0.01 (0.08),0.01 (0.09),0.3902025850669171,Fisher's exact
State_NY,0.05 (0.22),0.06 (0.23),0.2211555760161582,Chi-square
State_OH,0.04 (0.21),0.04 (0.21),0.6104042609745903,Chi-square
State_OK,0.02 (0.13),0.01 (0.11),0.6820261507067291,Fisher's exact
State_OR,0.01 (0.09),0.01 (0.09),1.0,Fisher's exact
State_PA,0.03 (0.18),0.04 (0.2),0.9286711466804154,Chi-square
State_PR,0.0 (0.07),0.01 (0.07),0.2015442568508667,Fisher's exact
State_RI,0.0 (0.07),0.0 (0.06),0.12187093698713344,Fisher's exact
State_SC,0.01 (0.1),0.01 (0.12),0.12156280420009832,Fisher's exact
State_SD,0.0 (0.05),0.0 (0.06),1.0,Fisher's exact
State_TN,0.02 (0.14),0.02 (0.14),0.8005190067885781,Fisher's exact
State_TX,0.12 (0.33),0.11 (0.32),0.5999760500354856,Chi-square
State_UT,0.01 (0.1),0.01 (0.09),1.0,Fisher's exact
State_VA,0.03 (0.17),0.03 (0.17),0.6467827622717464,Chi-square
State_VI,0.0 (0.01),0.0 (0.0),1.0,Chi-square
State_VT,0.0 (0.05),0.0 (0.05),1.0,Fisher's exact
State_WA,0.01 (0.12),0.02 (0.13),0.12063741718971849,Fisher's exact
State_WI,0.02 (0.14),0.02 (0.14),1.0,Fisher's exact
State_WV,0.01 (0.07),0.01 (0.08),0.24054926706464275,Fisher's exact
State_WY,0.0 (0.03),0.0 (0.04),1.0,Fisher's exact
WGT,75.76 (18.71),91.1 (20.32),0.0,t-test
